    Vpn = Spn-Sn-Sp       O        F        Ne       Na       Mg       Al       Si       P        S        Cl       Ar
                  7    2.670    0.975    1.359      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
                  8    4.831    1.136    2.454    0.925    2.162      0.0      0.0      0.0      0.0      0.0      0.0
                  9    1.654    5.007    2.487    2.513    0.566    2.146    0.857      0.0      0.0      0.0      0.0
                 10    2.160    2.386    6.433    0.241    2.278    0.133    1.502    0.625      0.0      0.0      0.0
                 11    1.127    2.646    0.160    4.307    2.076    1.722    0.121    1.860    1.283      0.0      0.0
                 12    2.279    0.493    2.263    2.055    4.112    0.408    2.100    0.725    1.262    0.783      0.0
                 13    1.644    1.425   -0.030    1.759    0.371    4.035    1.949    1.182    0.804    2.097    0.865
                 14    2.265    0.702    1.317    0.142    2.082    1.965    4.122    0.696    1.098    0.603    1.980
                 15    1.450    1.091    0.355    1.395    0.869    1.282    0.748    2.846    1.735    1.285    0.915
                 16    2.404    0.076    1.265    1.196    1.775    0.922    1.184    1.702    2.733    0.696    1.325
                 17   -0.223    1.546    0.745    2.027    0.113    2.084    0.848    1.348    0.706    2.866    1.232
                 18    1.649    1.421    1.709    0.587    1.949    0.802    2.046    0.904    1.313    1.228    2.611
                 19      0.0    1.431    1.183    1.314    0.033    1.905    0.293    1.775    0.703    1.594    0.208
                 20      0.0    0.910    2.068    0.854    1.493   -0.337    2.073    0.867    1.509    0.422    1.528
                 21      0.0      0.0    0.699    1.232    0.758    0.392   -0.197    0.990    0.839    1.804    0.491
                 22      0.0      0.0    1.345    1.000    1.805    0.512    0.882    0.712    1.220    0.037    1.796
                 23      0.0      0.0      0.0    1.712   -0.005    1.146    0.371    1.472    0.628    1.456    0.270
