        reaction     TKEA      S      k  Theta_k    Phi_k Theta_NN   Phi_NN      KE1  Theta_1    Phi_1      KE2  Theta_2    Phi_2
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00     0.00     0.00     0.00   143.58   180.00   250.00     0.00   180.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00    30.00     0.00    16.75    74.08   180.00   233.25    14.13     0.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00    60.00     0.00    62.50    58.42   180.00   187.50    28.47     0.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00    90.00     0.00   125.00    43.21   180.00   125.00    43.21     0.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00   120.00     0.00   187.50    28.47   180.00    62.50    58.42     0.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00   150.00     0.00   233.25    14.13   180.00    16.75    74.08     0.00
 1 H (p,2p) 0---   250.00   0.00   0.00     0.00     0.00   180.00     0.00   250.00     0.00   180.00     0.00   180.00     0.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00     0.00     0.00     7.54   180.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00     0.00     0.00     7.54   180.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00    90.00     0.00     5.35  -135.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00    90.00     0.00     5.35  -135.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00    90.00     0.00     5.35  -135.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00    90.00     0.00     5.35  -135.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00    90.00     0.00   144.94    42.94   180.00   144.94    42.94     0.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00     0.00     0.00     7.54   180.00   289.88     0.00   180.00
 9 F (p,2p) 8 O    289.88   0.00   0.00     0.00     0.00     0.00     0.00     0.00   180.00     0.00   289.88     0.00     0.00
 9 F (p,2p) 8 O    289.44  30.00   0.00     0.00     0.00     0.00     0.00     0.78     0.00     0.00   249.40     0.00     0.00
 9 F (p,2p) 8 O    289.44  30.00   0.00     0.00     0.00     0.00     0.00     0.78     0.00     0.00   249.40     0.00     0.00
 9 F (p,2p) 8 O    289.44   0.00   0.00     0.00     0.00     0.00     0.00     0.00   180.00     0.00   289.44     0.00     0.00
